title,url
"Donald Trump took US nuclear secrets, charges say",/news/world-us-canada-65852286
Why Trump indictment revelations could be so damaging,/news/world-us-canada-65863396
I've been forced out over Partygate report - Johnson,/news/uk-politics-65863267
'This is the dream' - all you need to know about Champions League final,/sport/football/65845807
Children found alive in jungle month after plane crash,/news/world-latin-america-65864158
Ukraine's counter-offensive against Russia under way,/news/world-europe-65860294
Canadian province sees progress in wildfire battle,/news/world-us-canada-65864198
The friends who escaped Russian occupation in dam floods,/news/world-europe-65859358
India have hope after third-day final fightback,/sport/cricket/65860402
Nuggets win to move closer to NBA title,/sport/basketball/65864614
Swiatek ready for unknown against Muchova in final,/sport/tennis/65863034
The fading glamour of digital nomadism,https://www.bbc.com/worklife/article/20230531-the-workers-quitting-digital-nomadism
Will unhealthy US air change attitudes?,https://www.bbc.com/future/article/20230608-canada-wildfires-will-they-change-climate-attitudes-on-us-east-coast
11 of the best New York films,https://www.bbc.com/culture/article/20230608-from-taxi-driver-to-25th-hour-11-of-the-best-new-york-films
Why AI won't be a burnout cure,https://www.bbc.com/worklife/article/20230605-why-ai-wont-be-the-burnout-cure-weve-been-waiting-for
The drone that can put out wildfires,https://www.bbc.com/future/article/20230609-can-we-use-firefighting-drones-put-out-wildfires
Why this tart is a culinary mystery,https://www.bbc.com/travel/article/20230608-the-italian-tart-that-tricked-the-pope
Seven hyperlocal histories revealed,https://www.bbc.com/culture/article/20230609-seven-hyperlocal-histories-revealed
"Croatia's healthy, uncomplicated lunch",https://www.bbc.com/travel/article/20230609-manetra-a-hearty-bean-based-soup
Greta Thunberg graduates from 'school strike',https://www.bbc.com/news/science-environment-65858186
The divisive debate over California's anti-caste bill,https://www.bbc.com/news/world-asia-india-65819688
India attempts to revive its dwindling rubber industry,https://www.bbc.com/news/business-65543616
'Two of my gay friends have gone missing',https://www.bbcselect.com/watch/gay-under-the-taliban/?utm_source=BBC.com&utm_medium=Homepage&utm_campaign=Gay+Under+The+Taliban
Boris Johnson's political career... in 72 seconds,/news/uk-politics-65860805
Boris Johnson's political career... in 72...,/news/uk-politics-65860805
Watch: The public no longer believe Johnson -...,/news/uk-politics-65860804
Drone footage shows blaze at listed building,/news/uk-england-tyne-65856241
Train smashes through truck on railway...,/news/world-us-canada-65859078
Drone footage shows extent Ukraine dam burst...,/news/world-europe-65853621
Watch: Driving test ends with crash into...,/news/world-latin-america-65852316
Wildfires continue to burn across Canada,/news/world-us-canada-65853623
Wind vortex seen over Kilauea volcano after...,/news/world-us-canada-65851094
Watch as researchers find fossilised whale...,/news/world-us-canada-65863914
Wolf pups practise howling for the first time,/news/world-us-canada-65848978
Surreal skies grip New Yorkers - in pictures,/news/in-pictures-65843841
How Riley Keough 'struggled' to get her new film funded,/news/entertainment-arts-65844005
How AI is helping doctors spot breast cancers,/news/technology-65821552
US cancer drug shortage hits thousands of patients,/news/world-us-canada-65791190
Mediterranean-style wildfire fighting coming to UK,/news/science-environment-65848872
BBC drama asks: When do you let a sick child die?,/news/uk-65855531
Is climate change fuelling Canada's wildfires?,/news/science-environment-65837040
Why millions of useable hard drives are being destroyed,https://www.bbc.com/news/business-65669537
The tech tricks that make computer games look real,https://www.bbc.com/news/business-65532128
Mosque plasterers and rock cutters: Africa's top shots,/news/world-africa-65843357
Strawberry Moon captured over England,/news/uk-england-leicestershire-65802574
Bywyd ar fferm fynydd Gymreig // Life on a Welsh hill farm,/newyddion/65828633
Top Scottish landscape photographers announced,https://www.bbc.co.uk/news/articles/c6p34zr7rz7o
Long lashes and fashion flair: Africa's top shots,/news/world-africa-65772200
